speed,timestamp,waypoints,ego_bbox,npc_bbox,npc_forward
2.0,42.37139308825135,"[[82.18915869758827, -144.01708491806073], [82.32241642297191, -145.56968200831383], [82.43293956719113, -147.22678136019655], [82.53708070979413, -148.9409449015028]]","[[155.5003662109375, 51.014644622802734], [157.5772247314453, 51.479854583740234], [156.57177734375, 46.23148727416992], [158.6486358642578, 46.69669723510742]]","[[162.85765075683594, 37.39452362060547], [162.8581085205078, 37.02200698852539], [161.21482849121094, 37.392520904541016], [161.2152862548828, 37.02000427246094]]","[-0.9999863505363464, -0.0012179770274087787]"
2.0,42.47139308974147,"[[79.38937810260674, -145.54714361789124], [79.51801082170722, -147.13614848471414], [79.62578600889417, -148.82951716243946], [79.72814693422868, -150.58027428971207]]","[[155.57388305664062, 50.76450729370117], [157.6586151123047, 51.19308853149414], [156.56092834472656, 45.963233947753906], [158.64566040039062, 46.391815185546875]]","[[162.85765075683594, 37.39452362060547], [162.8581085205078, 37.02200698852539], [161.21482849121094, 37.392520904541016], [161.2152862548828, 37.02000427246094]]","[-0.9999863505363464, -0.0012179770274087787]"
2.0,42.571393091231585,"[[76.47605053294393, -147.03208957235879], [76.59671294481865, -148.67192836566431], [76.69868168267632, -150.42637791060739], [76.79765246778936, -152.24213144492134]]","[[155.6463623046875, 50.49839782714844], [157.73846435546875, 50.889366149902344], [156.5467987060547, 45.68012619018555], [158.63890075683594, 46.07109832763672]]","[[162.85765075683594, 37.39452362060547], [162.8581085205078, 37.02200698852539], [161.21482849121094, 37.392520904541016], [161.2152862548828, 37.02000427246094]]","[-0.9999863505363464, -0.0012179770274087787]"
2.0,42.6713930927217,"[[73.50474296756407, -148.48856851502123], [73.61865935924955, -150.15507345073382], [73.71598248120426, -151.93452846386253], [73.81088255441131, -153.77202902661773]]","[[155.71775817871094, 50.211570739746094], [157.81658935546875, 50.564571380615234], [156.53074645996094, 45.377777099609375], [158.62957763671875, 45.730777740478516]]","[[162.8474884033203, 37.39450454711914], [162.84793090820312, 37.02198791503906], [161.20469665527344, 37.39252471923828], [161.20513916015625, 37.0200080871582]]","[-0.9999679923057556, -0.0012036500265821815]"
2.0,42.77139309421182,"[[70.44283440638345, -149.8934054089056], [70.56244852141427, -151.5852634968062], [70.66426992460735, -153.3963137110606], [70.76422616247159, -155.27419575283062]]","[[155.78770446777344, 49.902645111083984], [157.8927001953125, 50.216880798339844], [156.5113983154297, 45.054683685302734], [158.6164093017578, 45.368919372558594]]","[[162.73828125, 37.39436721801758], [162.71890258789062, 37.39434814453125], [162.7387237548828, 37.0218505859375], [162.71934509277344, 37.02183151245117]]","[-0.9998201131820679, -0.001197751029394567]"
2.0,42.87139309570193,"[[67.4231629428891, -151.20162035249876], [67.54850759189193, -152.91389193511708], [67.65807452157037, -154.7475495079924], [67.76451492497483, -156.64535885565977]]","[[155.85401916503906, 49.57439041137695], [157.96429443359375, 49.850982666015625], [156.49102783203125, 44.71427917480469], [158.60130310058594, 44.990867614746094]]","[[162.5849609375, 37.393943786621094], [162.5670623779297, 37.39392852783203], [162.5852813720703, 37.021427154541016], [162.5673828125, 37.02141189575195]]","[-0.9998468160629272, -0.0008819264476187527]"
2.0,42.97139309719205,"[[64.63819722617075, -152.33019256820722], [64.74701617412907, -154.08427806969004], [64.84282164591883, -155.9656722736395], [64.93789171249911, -157.90768395803192]]","[[155.91354370117188, 49.23872756958008], [158.0279998779297, 49.48128890991211], [156.47218322753906, 44.36898422241211], [158.58663940429688, 44.611541748046875]]","[[162.4123992919922, 37.39377212524414], [162.39759826660156, 37.393741607666016], [162.41275024414062, 37.02125549316406], [162.39794921875, 37.0212287902832]]","[-0.9998949766159058, -0.0009487192146480083]"
2.0,43.071393098682165,"[[62.14429531567803, -153.2904900183702], [62.24985711438457, -155.03979314206703], [62.3454185407707, -156.9151076287166], [62.440452410618335, -158.8483125533353]]","[[155.96507263183594, 48.90911102294922], [158.082763671875, 49.12159729003906], [156.45445251464844, 44.031917572021484], [158.5721435546875, 44.24440383911133]]","[[162.21728515625, 37.39358139038086], [162.2040557861328, 37.39356231689453], [162.21766662597656, 37.02106475830078], [162.20443725585938, 37.02104568481445]]","[-0.9999160170555115, -0.00103456259239465]"
2.0,43.17139310017228,"[[59.933861858641684, -154.13095292131888], [60.03602979995826, -155.92951235269092], [60.13014654252973, -157.84746764678383], [60.223432933374646, -159.8151662720683]]","[[156.00880432128906, 48.59122848510742], [158.1289520263672, 48.777618408203125], [156.43807983398438, 43.708377838134766], [158.5582275390625, 43.89476776123047]]","[[161.9991455078125, 37.393310546875], [161.9867706298828, 37.39329147338867], [161.99952697753906, 37.02079391479492], [161.98716735839844, 37.02077865600586]]","[-0.9999265074729919, -0.001046016695909202]"
2.0,43.2713931016624,"[[58.05449190956611, -154.87797134687716], [58.15194679550793, -156.73954349506093], [58.24105867273744, -158.69560061310818], [58.32869970038454, -160.68926293175736]]","[[156.0458526611328, 48.28170394897461], [158.1678009033203, 48.446319580078125], [156.4249725341797, 43.39470291137695], [158.5469207763672, 43.559322357177734]]","[[161.77964782714844, 37.39310073852539], [161.78005981445312, 37.02058410644531], [160.13687133789062, 37.391273498535156], [160.1372833251953, 37.01875686645508]]","[-0.9999650120735168, -0.0011118584079667926]"
